,time,model
0,359.6530029773712,LGB
1,527.551057100296,LGB
2,376.42343497276306,LGB
3,534.287663936615,LGB
4,386.95971393585205,LGB
5,458.40469312667847,LGB
6,553.7156312465668,LGB
7,584.5662961006165,LGB
8,629.4565010070801,LGB
9,709.255951166153,LGB
10,370.47924304008484,LGB
11,360.59865403175354,LGB
12,862.8925628662109,LGB
13,349.26489758491516,LGB
14,786.4668033123016,LGB
15,617.341808795929,LGB
16,614.9456472396851,LGB
17,514.1035220623016,LGB
18,621.3004517555237,LGB
19,616.7433950901031,LGB
20,622.388256072998,LGB
21,498.8813910484314,LGB
22,508.66084694862366,LGB
23,638.9462609291077,LGB
24,761.8947746753693,LGB
25,508.97499799728394,LGB
26,481.7523651123047,LGB
27,507.7021839618683,LGB
28,518.8120710849762,LGB
29,792.177239894867,LGB
30,523.3756551742554,LGB
31,520.8866701126099,LGB
32,635.5417568683624,LGB
33,517.7419719696045,LGB
34,510.75597381591797,LGB
35,519.9303059577942,LGB
36,650.5968868732452,LGB
37,519.4957530498505,LGB
38,360.85753202438354,LGB
39,517.7550821304321,LGB
40,631.8934800624847,LGB
41,521.4827749729156,LGB
42,480.2446813583374,LGB
43,588.62269115448,LGB
44,427.8871681690216,LGB
45,478.36576986312866,LGB
46,478.1639211177826,LGB
47,337.3419449329376,LGB
48,409.89437794685364,LGB
49,471.5139350891113,LGB
50,476.77965903282166,LGB
51,488.08432483673096,LGB
52,501.657155752182,LGB
53,619.9193179607391,LGB
54,412.5634000301361,LGB
55,491.2543921470642,LGB
56,493.4782540798187,LGB
57,594.1882140636444,LGB
58,330.62351632118225,LGB
59,474.2866060733795,LGB
60,476.8453378677368,LGB
61,478.1319580078125,LGB
62,480.71859216690063,LGB
63,584.0938420295715,LGB
64,479.618604183197,LGB
65,473.6660602092743,LGB
66,480.4789230823517,LGB
67,476.3937511444092,LGB
68,474.4722981452942,LGB
69,577.1433930397034,LGB
70,472.5553238391876,LGB
71,471.7418897151947,LGB
72,479.367938041687,LGB
73,475.4642322063446,LGB
74,478.1547021865845,LGB
75,474.00460481643677,LGB
76,471.5056519508362,LGB
77,467.72729086875916,LGB
78,473.2213728427887,LGB
79,472.94544291496277,LGB
80,489.2214069366455,LGB
81,491.76089215278625,LGB
82,490.92172384262085,LGB
83,488.2878751754761,LGB
84,495.3864679336548,LGB
85,489.12370586395264,LGB
86,487.93640422821045,LGB
87,348.50778913497925,LGB
88,481.627210855484,LGB
89,489.15854382514954,LGB
90,487.6322720050812,LGB
91,492.56980299949646,LGB
92,509.9149808883667,LGB
93,549.8757190704346,LGB
94,555.3443601131439,LGB
95,492.52751898765564,LGB
96,639.0572202205658,LGB
97,508.0504951477051,LGB
98,336.74834394454956,LGB
99,481.436048746109,LGB
